                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2161,                 1.1618,                 1.4817,                0.59965,                0.53793,                0.48573,                0.24624,                 1.7859,                 1.9234,                 1.9369,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.2908,                 1.2443,                 1.5162,                0.59323,                0.52931,                0.48619,                0.24622,                 1.7876,                 1.9561,                 1.9431,               0.093693,             0.00069307,             0.00069307
                      2,                 1.3217,                 1.2216,                 1.5073,                0.59278,                0.52069,                0.48673,                0.24759,                  1.784,                 1.9613,                 1.9449,               0.090078,              0.0010782,              0.0010782
                      3,                 1.4713,                 1.4542,                 1.6003,                0.57388,                0.51207,                0.45736,                0.23182,                 1.8204,                 1.9838,                 1.9777,               0.086455,              0.0014555,              0.0014555
                      4,                 1.4995,                 1.3849,                  1.656,                0.54515,                0.50069,                0.42221,                0.22603,                 1.8077,                 1.9846,                 1.9613,               0.082825,              0.0018248,              0.0018248
                      5,                 1.4606,                 1.4447,                 1.6485,                0.52573,                0.49998,                0.41731,                 0.2303,                 1.7917,                 2.0032,                 1.9469,               0.079186,              0.0021861,              0.0021861
                      6,                 1.3704,                 1.2603,                 1.6134,                0.52573,                0.49998,                0.41731,                 0.2303,                 1.7917,                 2.0032,                 1.9469,                0.07554,              0.0025396,              0.0025396
                      7,                 1.3826,                 1.3948,                  1.582,                 0.4714,                0.43483,                0.37871,                0.20638,                 1.7916,                  2.085,                 1.9463,               0.071885,              0.0028852,              0.0028852
                      8,                 1.3619,                 1.3382,                 1.5777,                0.38857,                0.39759,                0.35596,                0.20462,                 1.7862,                 2.1124,                 1.9578,               0.068223,              0.0032228,              0.0032228
                      9,                 1.4313,                 1.3846,                 1.6417,                0.38857,                0.39759,                0.35596,                0.20462,                 1.7862,                 2.1124,                 1.9578,               0.064553,              0.0035525,              0.0035525
                     10,                 1.3541,                 1.3039,                 1.5442,                0.43426,                0.39759,                0.37923,                 0.2072,                 1.8009,                 2.0862,                 1.9797,               0.060874,              0.0038743,              0.0038743
